PlaceName,PlaceId
"1720 Nightclub
",e0a4abea-24de-494a-f001-08d9863f7139
Academy,7ceb543e-acda-4f10-7aab-08d973bfe7e4
Academy Dayparty,7ceb543e-acda-4f10-7aab-08d973bfe7e4
Adults Only,6f3a3797-8813-43ca-0786-08d9737f8984
Apt. 503,658576cc-1298-4cc9-0730-08d9737f8984
Arena,25c7ca46-c7cb-4b43-0736-08d9737f8984
Avalon,2087b5a9-be0f-4f6e-0735-08d9737f8984
Ballet,a7c688ce-af0f-4399-19a9-08d97c1771a7
"Banc of California Stadium
",94933bd9-464e-4ab2-efb1-08d99d72e819
"Belasco
",e022a622-18bd-49c8-7bbb-08d973bfe7e4
Boardners by La Belle,b8280b05-b915-44ec-f004-08d9863f7139
